date;employee_title;employee_status;review_title;pros;cons
2021-10-11;Software Engineer;Current Employee;Salary;"Really good morning and May and time
";"Regards to the requested documents
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-09;Anonymous;Current Employee;A great company to work with;"Everything is great in Aramco
";"Nothing is -ve in Aramco
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-09;Computer Scientist;Current Employee, more than 8 years;Takes Patience and Savvy but very rewarding;"- Work life balance - Excellent Salary - Good expat schools - US payroll pension
";"- Very siloed - Limited upward mobility
"
2021-10-05;English Teacher;Former Employee;World Leading Oil Company;"Highly professional working environment. Salaries are competitive and rewarding. Good career growth opportunities. In-service training. Highly safe working environment. Easy channels of communication with management.
";"The company doesn't allow employees to continue working after the age of 60
"
2021-10-04;Undergraduate Student;Current Employee, less than 1 year;My Experience;"good salaries secure jobs good environment privileges such as free travels and good food services women empowerment
";"none as i have not signed until June this year
"
2021-10-04;Machinist;Current Employee;Machinist;"Good environment with good income
";"Nothing bad unless if u work in remote eara
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-14;Mechanical Engineer;Current Employee;Aramco General;"Job Safety Well-established system and procedures
";"Large company which makes it hard to effect change.
"
2021-09-30;Rotating Equipment Engineer;Current Employee;ispection;"high sallary with doing nothing
";"review sheets ... pump selection
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Contracts Advisor;Former Employee;Aramco;"Good training, nice working environment
";"Harsh working hours and slow promotions
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Human Resources Specialist;Current Employee;Rating;"Saudi Aramco is a Great Company
";"No Cons founded based on my experience
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;Cyber Security Consultant;Current Employee, more than 8 years;mature environment;;"ltant in Dhahran
Recommend
CEO Approval
Business Outlook
Pros
Saudi Aramco best company where you can work with experts.
Cons
working for Saudi aramco has very limited cons in my mind at the moment
"
