date;employee_title;employee_status;review_title;pros;cons
2021-05-28;Senior Manager;Former Employee, more than 1 year;Profits over people;"Excellent benefits and pay, but that's about it.
";"Absolutely the worst employment experience of my life. Served under the most horrible Factory Manager ever, with a serious superiority complex. 7 days a weeks 12, 13 sometimes 15 hours a day for over a year and a half, then just like that they close the factory and spit you out on your backside. Even with positions I was qualified for at the other location, I was tossed out like the trash with no support. Working at this company was the single worst professional experience of my life. Run far, far away from this company as fast as you can.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-06-03;Junior Maintenance/Resin Bay/Operator II;Current Employee;just keep your head down and grind it out;"great benefits. good PTO. mostly decent coworkers
";"politics. management not always straight with us.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-03;Welding Specialist;Current Employee, more than 8 years;good place to work;"pay is good, benefits are amazing teamwork with felow co workers are great
";"management needs help, lack of comm
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-09;Manager;Current Employee;Manager;"Growth for those that want to work hard
";"Heavy work laod for position
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-21;Project Manager;Former Employee, more than 10 years;Things are changing;"Lots of good quality people.
";"Direction not managed or isnt clear from management.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-04;QSE Manager;Current Employee, more than 10 years;Great place to work;"Flexible time off, Great challenges, place of growth
";"Extremely busy workload, Must prioritize Work life balance. Fast moving environment, some can't keep up.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-01;Technical Support Technician;Former Employee, more than 3 years;Good People;"Challenging work with excellent resources.
";"Low pay and hours being cut
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-11;Resource Technician;Current Employee, less than 1 year;Resource Tech- Exciting work traveling to less than exciting places;"Lots of PTO, Paid travel and expenses, good training program for new hires, very organized company. Very Safety Oriented
";"Significant travel to remote areas.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-19;Wind Technician II;Current Employee;Good benefits;"Benefits are good health insurance dental
";"Leadership does not care about work/life balance
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-30;Material Handler;Current Employee;Terrible. Went from being a great job to miserable.;"They don't burn us with torches.
";"Unstable, hostile and under appreciative employer. The worst.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-09;Technician;Current Employee, more than 3 years;great;"best place to work ever
";"pay isn't the best for work load
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-13;Wind Technician II;Current Employee, more than 1 year;Lots of Opportunities;"A lot of opportunities for overtime
";"Significant burden of paperwork with little time to get it done
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-29;Associate HRBP;Current Employee, more than 5 years;Fast Paced - lots of development;"fast paced organization, great opportunities to develop and grow your skills
";"The amount of work can be overwhelming
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
