date;employee_title;employee_status;review_title;pros;cons
2021-08-17;Forklift Operator;Current Employee, more than 8 years;You either like it or hate it.;"10 paid holidays. You start off with 2 weeks vacation plus 3 paid personal days.
";"Depending on where you are placed you may have mandatory overtime. 9-10 hour days and some Saturdays.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-19;Software Engenier;Current Employee, less than 1 year;Good company to work;"I was a contractor from another country. I learned to communicate across different teams
";"Since there were a lot of teams, you often need to know which team to direct your questions/issues to. A lot of times can lead to a dead end
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-07;Manager;Former Employee, less than 1 year;Great Company;"Great work atmosphere at GE
";"Sometimes a little slow to adapt
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-05;Technical Services Manager;Current Employee, more than 10 years;Perfect Balance;"Work life balance Good learning Strong & effective mentors Great exposure to technology, global experience & great talent Flexible work options
";"Salary may not be as high as some other places (This is based on things I have heard from others. Personally, I am happy with my compensation. Decision making may sometimes be slow given the size of the big company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-09;Executive Administrative Assistant;Former Employee;Executive Administrative Assistant;"Experienced, loyal, trustworthy, team player, goal oriented, open minded, think outside the box, focused, driven, open to new ideas, efficient, organized, excellent judgment and discretion, friendly, flexible, positive attitude
";"Determined, knock myself if I feel projects are not perfect, my kindness can be interpreted as weakness by others, but am think skinned, over work (nights/weekends/vacations.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-05;Engineer Analyst;Current Employee;Great Experience;"Good Challenges Good Company Culture Global Exposure
";"Long Working Hours A lot of pressure
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-28;Assembler;Former Employee, more than 5 years;its better than most jobs;"very laid back atmosphere. easy time off, good pay, ok benefits. great group of people to be around. easy work
";"management are very young and often have a disconnect with the more knowledgeable work force. managers are often on a fast track program for their careers and only spend about 6 months to a year before moving, then you get another, younger less knowledgable manager
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-26;Technical Sales Manager;Former Employee, more than 3 years;Great Place to Work;"Great Place to work, Amazing people, Genuine interest and investment in the professional development of its employees,
";"Slow decision making process, Disconnect between HQ and Regional Folks
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Anonymous;Current Employee;good company;"great team with lots of knowledge and very helpful.
";"things move slow as with most large organizations
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Anonymous;Current Employee;Great company, can be leaner;"Solid company with strong products portfolio
";"Bureaucracy and heavy processes can be a hurdle
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-27;Lead Quality Engineer;Current Employee;Hybrid;"Great Maternity Leave (16 weeks paid) Great Paternity Leave (10 weeks paid) Hybrid work
";"Too many people to go through decision making process because it is a large company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Anonymous;Former Employee;Great Company;"Great people, challenging projects, great growth opportunity
";"Life work balance can be better.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-08-18;Sales Director;Former Employee, more than 8 years;Solid place to work, even if times have been tough the last few years;"Lots of smart people, durable businesses, competitive pay
";"Lots of churn as they rightsize the business, still a lot of overpromising on results by the management teams
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Field Service Engineer;Current Employee;A lot of managers;"Reliable pay and work. Vacation days
";"Internal Auditing, a lot of company policies that don’t always make sense for your specific circumstance. (Always book cheapest flight even if it has 12 hour layover, not allowed to work over 12 hours a day due to health and safety.)
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Anonymous;Former Employee, more than 10 years;Great company;"Great company to work for
";"Bad executive leadership by few
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Consultant;Former Employee, more than 3 years;work conditions;;"ltant in Atlanta, GA
Recommend
CEO Approval
Business Outlook
Pros
education benefits are good and you can take advantage of the opportunities
Cons
not paying enough or recognizing enough
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-18;Staff Technical Project Manager;Current Employee, more than 5 years;Stay away;"Honestly — used to be a great family like network with good scoped projects and a focus on work-life balance. 401k matches up to 8 percent
";"Recent years GE has taken a hit financially and the culture has become extremely toxic. Leadership changed over the course of the last two years and lots of org restructured. Got rid of base employee cost across the US in large numbers and eventually workload is extremely high with no backfill on roles. Promotions across the board have stopped/halted or seen very rarely. People’s compensation has been stagnant as well. And I think the most important part is the burnout culture it has created and we see all across orgs
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-16;Software Engineer;Former Employee, more than 3 years;The page won't let me put in my last year at this employer as 2005;"Great benefits and stock options. Opportunities to advance and learn new skills. Great Team to work with.
";"Corporation Uses Offshore Labor to save costs Corporation sometimes requires ridiculous in-house trainings
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-30;Accountant II;Current Employee;Great place;"Loved the work and the location
";"Paid for parking, small workspace
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-03;Test Engineer;Former Employee;GE- Great Place to Work, but a Lot of Ups & Downs;"Great people, a culture of teamwork. Take time off when needed. There's no rules about taking vacation days. Lots of learning opportunities.
";"To many ups & downs. Either working overtime or having layoffs due to the economy and/or business successes or downturns.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-25;Senior Financial Analyst;Current Employee, more than 10 years;Sr Analyst;"Great core values, employee engagement, great compensation/benefits
";"Sometimes the hours are a bit long during seasonal requirements.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-31;Quality Engineer;Current Employee, more than 3 years;Old school company trying to transform;"Work life balance is a positive. 8-10 hours days are typical. There are lots of career growth opportunities including options to relocate. GE has a great relocation package.
";"Raises are non-existent unless you move into a new role. Bonuses are rare due to the poor performance of the company over the last decade. Many open roles are limited to only OMLP/other leadership program participants. Healthcare and 401k benefits are subpar.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2021-08-04;Mechanical Engineer;Current Employee, more than 3 years;Wonderful job but with certain inconveniences;"Being a mechanical engineer at GE is great because I get to work
";"Horrible boss who dislikes Latinos, blacks and Muslims. He keeps complaining about “cancel culture”, it’s so annoying.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-14;Director;Former Employee, more than 8 years;Like any large company;"Access to resources such as hardware. The new CEO is fantastic - hope he manages to turn the company around.
";"Deep routed culture which needs to change. Leaders interested in empire bldg and not genuinely focused on company's growth.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-28;Ops Manager;Current Employee;no;"lots of opportunites to move
";"work life balance is not good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-03;Devops Engineer;Current Employee, more than 1 year;Great place to be set in your skills;"Flexible work schedule Great management Job security
";"Slow to adopt new software practices
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-27;Anonymous;Former Employee;Excellent;"Great people, learning environment, wonderful challenges
";"Can be stressful, long hours
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-20;Human Resources Manager;Former Employee;Best of times and worst of times;"Flexibility, certain benefits, opportunities to do new things
";"Room to improve culture in some business units
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Data Scientist;Current Employee, more than 5 years;Great place to work;"great place to learn starting of career
";"no career growth after some time
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-07;Field Service Engineer;Current Employee, more than 1 year;Healthcare;"Ge Additive is a great place to work I like the crew and the technology, I always wanted to work in the GE Healthcare division.
";"I would like to work more overtime
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-29;Controls Engineer;Current Employee;GE is a classic american engineering company with the pros and cons of a big company;"flexible work time, pay is good, great entry level programs
";"big business bureaucracy, can feel like a cog in a wheel if you let yourself get distant from team.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-24;Anonymous;Current Employee, more than 5 years;Good;"Easy for some one that is single. It is at a fair price. Easy to handle during set up time
";"If you have a family of three or more, the health insurance may be a bit harder to handle but manageable. Unsure about other companies of the same size
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-19;Client Services Manager;Former Employee;GE;"Everything is good and very stable.
";"Down cycles are to be watched.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Director;Former Employee, more than 8 years;Network strong;"Network and colleagues are good
";"Salary decreasingly uncompetitive, benefits just ok.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-23;Lead Controls Engineer;Current Employee;No Empowerment, No Opportunity, Corporate Machine;"Great PTO policy that you're guilted into not taking advantage of, meaningful and industry leading work. People on an individual basis are generally great to work with and helpful.
";"Just about everything else is a con
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Senior Human Resources Manager;Current Employee, more than 10 years;Would you join us?;"Global exposure, flexible wh and location, talented peers, company products and missions
";"Salary, hierarchy, silo organizations, culture
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
