date;employee_title;employee_status;review_title;pros;cons
2020-08-19;Anonymous;Former Employee, more than 5 years;Good while it lasted;"Schedule was great. Two weeks on and Off
";"Inconsistencies of the oil & gas field
"
2020-08-19;Firmware Engineer;Current Employee, more than 10 years;Good opportunities;"Interesting work that affects day to day life
";"Firmware/Software is not well understood in company
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-03;IT Project Manager;Current Employee, more than 5 years;Hire and fire culture;"Good salary Good benefits Technology focused company
";"People management is very week Hire and fire culture Timelines always miss and management is looking for scapegoats
"
2020-09-03;Field Engineer;Former Employee;Good company;"Good training for start of career
";"You are just a number
"
2020-09-02;Advanced Manufacturing Engineer;Former Employee, more than 3 years;OK;"If your connected it's great; if not so much.
";"It's an old boys club.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-02;Supply Chain Manager;Former Employee;Good;"Good & Smart People, Great opportunities
";"Small windows to accomplish big deadlines
"
2020-08-18;Project Manager;Former Employee;Huge company, always need to make yourself stand out;"resources, global reach, opportunities for promotion, relocation, benefits
";"slip through cracks, management levels, corporate structure, slow to change, red tape
"
2020-09-01;MWD Field Specialist;Former Employee, more than 1 year;Harder than it sounds;"Great pay and Challenging Work
";"Next to no time off, live out of your car and up for 24+ hours at a time when things go wrong. Which is more often than you would think.
"
2020-09-01;Field Engineer;Current Employee;Interesting yet difficult work;"Great people to work with in the field
";"Long hours and monotonous work
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-01;Implementation Manager;Former Employee;Schlumberger Review;"Always a challenge, new CEO offers promise
";"Hire and fire with the cyclic nature of the oil industry
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-17;Anonymous;Current Employee, more than 1 year;Stable corporate job;"Great people to work with
";"Can also find jerks to work with
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-15;Tender Engineer;Former Employee, more than 10 years;Highly uncertain environment;"Teams of highly talented people
";"Highly uncertain environment. frequent downturns
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-14;Engineering Team Leader;Current Employee, more than 5 years;Great company, dwindling benefits;"Great technology company, outstanding work environment, room for personal & professional growth, flexible hours, safety-oriented
";"geographic mobility virtually essential for career growth, certain technical functions become domain-specific, dwindling benefits (due to industry downturn), bureaucratic, internal poistions not transparent to employees
"
2020-08-28;Chemical Engineer;Current Employee;Limited options for career development;"Opportunity to learn different things
";"Hard to move forward if stay technical
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-28;Well Engineer;Former Employee, more than 3 years;Good experience if you don't mind travelling;"Interesting work, traveled alot, salary coefficients if working abroad
";"Traveled a lot, lived out of a suitcase, stressed, pay lower than same-level engineers at other other companies
"
2020-08-26;Planner;Former Employee;People are part of the mission statement, in theory not in practice.;"If you have the ablility to adapt and work in a toxic, dog eat dog world, then you can make opportunties for yourself.
";"Doesn't not have an internal career portal, all visibility to opportunities and new roles are very dependant on how well connected you are and who you know. No work life balance, you are expected to be avalaible as needed 24/7.
"
